38 Provinsi,,,,,,,,,,,,,
,Produksi Jagung Pipilan Kering Kadar Air 14 Persen Menurut Provinsi (Bulanan) (Ton),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,3216.48,4387.91,2463.53,3114.3,3259.64,5255.87,3511.39,4500.4,5020.24,4128.97,3013.93,4250.25,46122.91
SUMATERA UTARA,171608.46,96581.47,75680.6,64413.33,80331.61,166313.51,179723.78,114445.73,56469.78,65406.61,93144.84,158892.23,1323011.94
SUMATERA BARAT,50233.22,46534.44,32411.86,34099.43,51043.6,65899.67,28788.85,39522.68,54612.46,53180.65,37446.71,51286.84,545060.41
RIAU,326.87,124.76,59.48,68.41,287.94,285.65,381.41,381.19,414.99,908.63,209.87,340.6,3789.8
JAMBI,1742.91,975.41,2165.68,1055.74,1586.11,2418.44,2578.74,1496.77,2124.52,4031.36,3947.51,2398.12,26521.32
SUMATERA SELATAN,20649.58,25296.83,22621.32,15330.6,12886.51,21771.14,20469.97,32224.64,83125.75,73225.03,31542.79,23143.52,382287.67
BENGKULU,8151.7,4246.48,3392.76,6064.56,5108.41,6294,3865.99,6467.57,5178.18,6914.51,5210.79,5245.01,66139.94
LAMPUNG,90017.08,136458.51,149698.53,54962.71,80690.41,135866.38,164192.84,84619.16,123450.91,92765.9,46566.15,92705.84,1251994.44
KEP. BANGKA BELITUNG,113.39,0,0,0,984.03,491.86,128.5,324.18,773.77,631.07,105.31,177.5,3729.6
KEP. RIAU,0,0.11,1.57,1.57,1.83,0,0,5.94,7.45,5.74,0,2.52,26.72
DKI JAKARTA,0,0,0,0,0,0,0,0,0,0,0,0,0
JAWA BARAT,70752.72,106578.57,128029.74,53657.17,38106.65,84896.23,108635.13,62964.33,38760.38,37127.21,44367.2,42508.61,816383.96
JAWA TENGAH,353890.39,283130.07,127636.72,66595.77,191826.18,322785.54,233603.81,277029.07,291254.22,257199.46,212183.08,219935.49,2837069.8
DI YOGYAKARTA,21799.92,74059.9,5265.28,0,13298.92,30499.65,9293.51,17173.29,7659.98,16229.59,15248.13,10460.87,220989.05
JAWA TIMUR,291587.35,682552.27,454204.88,175252.34,213287.89,449200.5,363118.49,393639.63,364397.85,410104.99,532784.22,486637.88,4816768.3
BANTEN,1844.75,1532.1,1010.97,1095.67,1532.73,139.58,634.59,782.44,566.69,1901.48,2415.53,4552.31,18008.86
BALI,1588.77,2481.13,8343.72,1613.32,614.86,1770.44,1388.11,1503.27,1476.71,8758.52,4938.36,3742.1,38219.31
NUSA TENGGARA BARAT,20578.13,36276.49,164193.93,390101.58,145703.94,45806.46,66275.26,57157.92,101413.29,58973.47,59632.94,50838.27,1196951.68
NUSA TENGGARA TIMUR,7447.69,24559.32,82659.26,100796.5,22014.54,8226.86,23609.61,19985.26,8273.86,4125.57,3015.18,4894.15,309607.79
KALIMANTAN BARAT,11472.2,11895.79,7272.23,6934.7,12902.3,21607.22,20821.69,20127.95,22928.56,15634.97,13590.36,11606.45,176794.42
KALIMANTAN TENGAH,2801.39,4576.11,2700.68,2995.92,4125.65,3494.25,2993.68,4621.83,5921.98,3321.81,2582.47,2454.9,42590.66
KALIMANTAN SELATAN,12726.27,38057.64,18049.08,3918.04,5873.19,23374.71,19853.85,14790.56,3164.78,1801.55,6833.25,6869.66,155312.59
KALIMANTAN TIMUR,1048.33,671.29,879.73,822.89,1013.53,1329.31,703.91,1055.17,1550.2,573.56,758.46,961.31,11367.68
KALIMANTAN UTARA,573.42,425.55,8.65,51.67,128.03,116.31,1743.86,216.22,1152.89,581.95,102.93,232.33,5333.81
SULAWESI UTARA,9152.2,12378.69,11453.26,14864.42,7487.04,6813.9,8101.57,9269.04,7854.32,7018.69,7054,5601.84,107048.98
SULAWESI TENGAH,7885.04,7402.61,9473.62,6312,6780.4,6604.32,5835.03,7229.63,5781.6,5958.94,4881.27,6094.98,80239.45
SULAWESI SELATAN,53821.35,172150.3,211014.07,125787.79,42794.06,105647.2,156757.92,160331.24,87815.78,39111.84,63905.08,56398.65,1275535.27
SULAWESI TENGGARA,4397.45,6387.87,6628.45,4477.64,5990.43,2850.12,4256.61,4049.19,2600.42,2080.03,7109.18,4876.92,55704.32
GORONTALO,20823.67,77074.14,104050.9,133847.05,33828.62,30626.42,40988.44,49370.16,53623.13,63044.33,10104.35,21859.4,639240.62
SULAWESI BARAT,2530.63,2337.96,1354.46,1556.68,2933.73,1917.64,1435.9,1336.75,2565.51,1985.04,2021.33,2279.09,24254.72
MALUKU,738.56,415.1,2099.66,348.99,909.21,86.44,1152.62,655.94,0,173.38,348.36,320.91,7249.16
MALUKU UTARA,579.21,791.97,302.3,229.05,264.57,223.77,212.09,255.07,435.77,250.7,432.43,559.23,4536.17
PAPUA BARAT,84.47,163.84,15.34,201.2,193.3,351.65,13.34,78.47,36.62,39.25,62.91,57.32,1297.71
PAPUA BARAT DAYA,278.43,233.84,227.66,360.49,267.72,181.36,184.49,276.73,225.08,157.77,114.33,191.51,2699.41
PAPUA,26.51,214.06,349.7,38.58,603.21,325.46,13.04,207.49,61.25,26.49,372.91,94.56,2333.26
PAPUA SELATAN,69.19,240.01,62.3,607.02,34.01,17,0,1757.96,0,0,92.37,39.32,2919.18
PAPUA TENGAH,653.7,374.35,211.08,612.33,435.56,170.6,170.6,298.54,473,448.55,181.73,158.63,4188.67
PAPUA PEGUNUNGAN,0,0,0,0,59.6,0,119.2,0,0,42.02,0,5.25,226.07
INDONESIA,1245211.43,1861566.92,1635993.03,1272189.44,989189.98,1553659.47,1475557.81,1390151.41,1341171.9,1237869.64,1216320.25,1282674.38,16501555.66